0 0.321414
0.01 0.322748
0.02 0.34104
0.03 0.345419
0.04 0.363208
0.05 0.370549
0.06 0.387566
0.07 0.397749
0.08 0.413734
0.09 0.426599
0.1 0.441299
0.11 0.456651
0.12 0.469831
0.13 0.487443
0.14 0.498886
0.15 0.5185
0.16 0.52801
0.17 0.549345
0.18 0.556751
0.19 0.579507
0.2 0.584665
0.21 0.608525
0.22 0.611318
0.23 0.635958
0.24 0.636298
0.25 0.661391
0.26 0.659219
0.27 0.68444
0.28 0.679724
0.29 0.704758
0.3 0.697496
0.31 0.72204
0.32 0.712255
0.33 0.736029
0.34 0.723767
0.35 0.746518
0.36 0.731849
0.37 0.753351
0.38 0.736366
0.39 0.75643
0.4 0.737238
0.41 0.755715
0.42 0.734441
0.43 0.751224
0.44 0.728005
0.45 0.743031
0.46 0.718017
0.47 0.731269
0.48 0.704618
0.49 0.716127
0.5 0.688004
0.51 0.697845
0.52 0.668422
0.53 0.676711
0.54 0.646164
0.55 0.653059
0.56 0.621567
0.57 0.627259
0.58 0.595005
0.59 0.599715
0.6 0.566887
0.61 0.570857
0.62 0.537644
0.63 0.541134
0.64 0.50773
0.65 0.511005
0.66 0.47761
0.67 0.480937
0.68 0.447752
0.69 0.45139
0.7 0.418626
0.71 0.422817
0.72 0.390687
0.73 0.395653
0.74 0.364376
0.75 0.370311
0.76 0.340111
0.77 0.347172
0.78 0.318276
0.79 0.326585
0.8 0.299221
0.81 0.308859
0.82 0.283252
0.83 0.294258
0.84 0.270629
0.85 0.282997
0.86 0.261559
0.87 0.275241
0.88 0.256194
0.89 0.271101
0.9 0.254628
0.91 0.270634
0.92 0.256896
0.93 0.273839
0.94 0.262973
0.95 0.280659
0.96 0.27277
0.97 0.290981
0.98 0.286142
0.99 0.304638
1 0.302887
